platemap	expression_False_in_other_platemaps	expression_False_in_platemap	expression_True_in_other_platemaps	expression_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	6114	2044	238	85	1.0682834777746715	0.601115896367334	0.6456429998019513
platemap_2	6125	2033	227	96	1.274131023140213	0.057557740060290526	0.11922674726774465
platemap_3	6138	2021	214	108	1.5327472751067066	0.0006278875902654885	0.0046712085072613254
platemap_4	6122	2036	230	93	1.2158238660630392	0.13213449363048613	0.2254059008990646
platemap_5	6137	2021	215	108	1.5253696650288253	0.0006443046216912173	0.0046712085072613254
platemap_6	6117	2041	235	88	1.1223034182242748	0.3603062612366298	0.5224440787931132
platemap_7	6131	2027	221	102	1.3960001517968958	0.007266652147682797	0.019157537480254647
platemap_8	6130	2028	222	101	1.3751843559535868	0.01065613134376927	0.025752317414109067
platemap_9	6123	2035	229	94	1.2350718324517451	0.10166410837800954	0.19655060953081843
platemap_10	6134	2024	218	105	1.459708271385575	0.0025467982538457	0.009232143670190663
platemap_11	6136	2022	216	107	1.5032604315492546	0.0010345703382833174	0.006000507962043241
platemap_12	6242	2070	110	59	1.6173825208607817	0.00402673888552119	0.012975047520012724
platemap_13	6103	2055	249	74	0.8825999863199757	0.39498380921298737	0.5454538317703159
platemap_14	6116	2043	236	86	1.0909015489019969	0.5123510683130379	0.5795983799151434
platemap_15	6059	2099	293	30	0.29555761153938087	2.742922271336298e-13	3.977237293437632e-12
platemap_16	6090	2069	262	60	0.6740727349200668	0.005853562150009837	0.016975330235028525
platemap_17	6052	2106	300	23	0.22031655587211144	2.0413252003698357e-17	5.919843081072523e-16
platemap_18	6086	2072	266	57	0.6294125758411473	0.0013165114245470024	0.006363138551977178
platemap_19	6094	2064	258	65	0.7438517817438856	0.03620914567116774	0.08077424803568188
platemap_20	6101	2057	251	72	0.8507961348577494	0.2658935367413363	0.4058375034473028
platemap_21	6098	2060	254	69	0.8041472364498127	0.11676845921715293	0.2116428323310897
platemap_22	6111	2047	241	82	1.0157603374637918	0.896008672964969	0.9280089827137179
platemap_23	6104	2054	248	75	0.8987184722178597	0.47171828051970277	0.5699929222946408
platemap_24	6104	2054	248	75	0.8987184722178597	0.47171828051970277	0.5699929222946408
platemap_25	6116	2042	236	87	1.104126894536762	0.43295828071244646	0.5699929222946408
platemap_26	6089	2071	263	58	0.6483927053479794	0.0025137844736316944	0.009232143670190663
platemap_27	6240	2082	112	47	1.2577192260189378	0.1963921167174695	0.3164095213781453
platemap_28	6350	2129	2	0	0.0	1.0	1.0
platemap_29	6294	2106	58	23	1.1851360644464093	0.5196399268204734	0.5795983799151434
